AuthorId,RecipeId,Time,HighCalories,HighProtein,LowFat,LowSugar,HighFiber
2837101D,209706,1319.2677014160545,0.0,Indifferent,0,0,0
1884676C,230872,2400.220487263566,1,Yes,0,Indifferent,0
2001541813E,397620,1800.3867259479389,0.0,Yes,0,0,0
2246236E,283493,601.9177520300829,1,Yes,1,0,0
2001838181D,43427,1498.8787252911125,1,Indifferent,1,0,1
1137048B,166569,23401.735394045503,0.0,Indifferent,0,Indifferent,0
1803253151B,144664,4200.878324630548,0.0,Indifferent,0,0,0
2000455208C,125287,3900.2532540863103,1,Yes,0,0,0
1762670C,128347,29401.45548480693,0.0,Yes,1,Indifferent,0
1384269B,60560,2100.481591846202,1,Indifferent,1,0,0
225320B,264037,5098.958645616088,0.0,Yes,0,Indifferent,0
2001528373D,102734,1799.797642802624,0.0,Indifferent,0,Indifferent,0
1002792D,3503,3599.9417689764623,0.0,Yes,0,0,1
1802395849A,505821,1499.453804469122,0.0,Indifferent,0,0,1
225320B,111739,3897.779773202101,1,Indifferent,1,0,1
1846949C,413958,3599.0150066792694,0.0,Indifferent,0,0,1
209874C,37336,600.3858022235752,0.0,Yes,1,0,1
2002842433C,491289,1799.019096868713,1,Indifferent,1,0,0
694721C,57687,3598.509782837009,1,Indifferent,1,0,1
382527A,45809,14399.052698884288,0.0,Indifferent,0,0,0
1744117D,438884,8100.940773214918,0.0,Yes,0,0,1
104168A,151799,15000.99402387978,0.0,Yes,1,Indifferent,1
1064640E,217062,3900.29164738252,1,Yes,0,0,1
2001493791C,238798,598.7320783085241,0.0,Indifferent,1,0,1
47472D,31342,2999.5920967159386,0.0,Indifferent,0,0,1
1410177C,406380,4500.951708394158,0.0,Indifferent,0,0,0
2704616C,494667,2998.110038887162,1,Yes,0,0,0
123184D,440915,1801.691375860686,1,Indifferent,0,0,0
1678336E,12015,301.23482046723495,0.0,Indifferent,0,0,0
561124D,60165,3300.057887678811,0.0,Indifferent,1,0,0
985847E,95788,2400.1124544604572,0.0,Yes,0,0,1
20754C,129198,2401.770793149654,0.0,Indifferent,0,Indifferent,1
1803038452E,93026,121.34827705463,1,Indifferent,1,0,0
45463519E,17134,2100.339709939072,1,Yes,0,Indifferent,0
1803483450C,74086,2399.4718919623933,0.0,Indifferent,0,Indifferent,0
2001939950D,9319,30600.80534609103,0.0,Yes,1,0,0
1884177B,26451,1199.802956359035,1,Indifferent,0,0,0
1607740D,110311,2700.9226759688413,0.0,Indifferent,0,0,1
2001104042A,176719,602.2693977139429,1,Yes,1,0,0
595604A,163286,300.1607834212334,0.0,Indifferent,0,0,1
237258C,22053,3298.3087046841433,0.0,Indifferent,0,Indifferent,0
476152A,376204,1500.5973368636785,1,Indifferent,0,0,1
2000866880D,137629,4499.335867887706,1,Indifferent,0,0,0
2001554784E,307730,2700.646330231693,1,Yes,0,0,0
42262272A,392158,1800.5255830208148,1,Indifferent,1,0,0
1803507713B,229548,3900.7550925756086,1,Yes,0,Indifferent,1
206608A,57413,599.8412195783708,0.0,Indifferent,1,0,0
1495968C,28011,3001.040220327633,1,Indifferent,0,0,1
973290D,22267,3900.277890914132,1,Indifferent,0,Indifferent,0
2002161015D,155616,2700.0534182369215,0.0,Indifferent,1,0,1
2001529029C,16879,3600.496892323153,0.0,Indifferent,0,0,0
540865D,255239,4499.980817002749,1,Indifferent,0,0,0
1864214A,35341,2700.385407085526,1,Indifferent,0,Indifferent,0
1846602E,260767,3000.627294104423,1,Indifferent,0,0,0
161652C,37120,1199.921747074328,1,Indifferent,1,0,0
2322917D,257723,4201.048176479427,1,Yes,0,Indifferent,0
754254C,62855,2398.9642365916125,0.0,Indifferent,0,0,0
367581E,72639,540.7506367516444,1,Indifferent,0,Indifferent,1
272443B,322465,3300.123720866542,1,Indifferent,1,Indifferent,0
688768D,228809,599.2186207729616,0.0,Indifferent,0,Indifferent,0
2000758272B,255672,3600.5147992759476,1,Indifferent,0,Indifferent,0
1222368B,268539,6299.93182498896,0.0,Indifferent,1,0,1
2271250D,28408,721.9725766151828,1,Indifferent,0,Indifferent,0
2000827979A,38766,2397.7497073191535,1,Yes,0,0,0
1667460B,221743,2398.9600158571457,0.0,Indifferent,0,Indifferent,0
2001836683B,11971,2998.9774447641917,0.0,Yes,0,0,1
1656759D,67238,3299.268199493117,0.0,Indifferent,0,0,0
1593230B,439084,3300.4783750590427,1,Yes,0,Indifferent,1
1182405A,125227,4799.437124444861,1,Yes,1,0,0
186385E,54257,3898.032316584098,0.0,Yes,1,0,1
1034097D,183629,3300.448662798858,0.0,Yes,0,0,0
2001394887C,16171,600.4194823465888,1,Indifferent,1,0,0
1222368B,216041,7200.7234522751905,0.0,Yes,0,0,0
1059475B,312259,1801.585102123284,1,Indifferent,0,0,0
2189459A,23941,1200.2113240045362,0.0,Indifferent,1,Indifferent,0
2002169292E,214965,1799.3045089619543,0.0,Indifferent,1,0,1
2000444968D,82674,1200.0748857341084,1,Indifferent,0,0,0
1302598A,87892,2700.122277133635,1,Yes,1,0,1
1094691C,103572,2999.137679461932,0.0,Indifferent,0,Indifferent,1
2002076349B,73825,13500.331755800518,1,Yes,0,Indifferent,0
2322917D,468583,1678.787725427051,1,Yes,0,0,0
2000808766E,54269,900.2333280363233,1,Yes,0,0,0
2000333540A,364662,2100.9592481456966,0.0,Yes,0,0,0
2001952485A,130650,5101.826027439151,1,Indifferent,0,0,0
2095040A,118409,4801.314946453846,0.0,Yes,0,Indifferent,0
2001180976D,316406,1498.4130516085847,0.0,Indifferent,0,Indifferent,0
2115365A,165826,2399.3540135306453,0.0,Indifferent,0,0,1
579624D,206388,600.3375365042315,1,Indifferent,0,0,0
2000827979A,134182,600.6489685742686,0.0,Indifferent,1,0,0
2001721526A,111949,1260.6728098799213,0.0,Yes,1,0,0
2001080641B,25690,88200.41191369716,0.0,Yes,0,Indifferent,1
1396933A,11431,2700.451138618197,0.0,Yes,0,0,0
2001217679A,67478,43200.68153683226,0.0,Indifferent,1,Indifferent,0
544731E,100793,1201.7470246721707,0.0,Indifferent,0,Indifferent,0
331467C,109408,3601.8444462856023,0.0,Indifferent,0,0,0
2000418861D,37968,4197.817821441834,1,Indifferent,1,0,0
1664729A,170190,3601.552643410076,0.0,Indifferent,1,0,1
1692742E,277167,2398.8388598425418,0.0,Indifferent,0,0,0
335936B,203759,1799.2668875794254,0.0,Indifferent,0,0,0
12866531A,247796,2999.78983200486,0.0,Indifferent,1,0,0
437473C,45005,900.7907528709264,1,Yes,1,0,1
2002157358A,73241,179.16190477055753,1,Yes,0,0,1
664683A,222625,4199.769367723535,1,Yes,1,Indifferent,0
12454207E,9327,3899.868213740397,1,Yes,0,0,1
105002D,324890,8399.111679357651,1,Yes,0,0,1
2000753414E,334135,1199.3685954467385,1,Indifferent,0,0,0
1450361E,65645,2699.5907230631487,0.0,Yes,0,0,0
567460A,252294,3599.081380486793,0.0,Yes,0,Indifferent,0
2001444890A,457972,1800.5284707640703,0.0,Yes,0,Indifferent,1
242448E,115688,4499.387028211973,1,Yes,0,0,0
907159E,138786,6898.968463009267,1,Indifferent,0,0,0
1567558A,113762,417.576341228448,1,Yes,0,Indifferent,0
1803387813D,43140,22801.268875699625,0.0,Indifferent,0,0,0
639031A,21256,900.9611897023804,1,Yes,0,0,1
751444B,266473,4799.592067366541,0.0,Indifferent,0,0,0
68942D,482385,2698.8726341796323,0.0,Yes,0,0,1
1814518A,388740,15299.95167149017,0.0,Yes,0,0,1
2237302A,279191,177.98714393197025,0.0,Indifferent,0,Indifferent,1
11294013C,21882,9000.429520255242,1,Indifferent,1,0,1
104168A,38624,1800.9938191417275,0.0,Indifferent,1,Indifferent,0
2002514229E,228230,12599.253210977897,0.0,Indifferent,0,0,0
1434833C,128105,1201.487218050409,0.0,Indifferent,0,0,0
842776E,276628,2700.196561538862,0.0,Indifferent,0,Indifferent,0
2001700132B,87521,2399.1401068040086,0.0,Yes,0,0,0
2916424C,74275,3600.3233990104773,1,Yes,0,Indifferent,1
98643B,15411,24300.51187881471,0.0,Yes,1,0,1
2001242217D,79595,2338.0896733778136,0.0,Indifferent,0,0,0
2002161877C,302886,897.3334826611779,1,Indifferent,0,0,0
2001157099D,70366,3000.827591633082,0.0,Indifferent,0,0,1
1803495089D,91720,3001.2943998942133,1,Yes,0,0,0
561326C,104086,8400.75405578801,0.0,Indifferent,0,Indifferent,1
153927D,375710,298.65284093864204,0.0,Indifferent,1,0,0
153065D,28758,899.1644357342034,0.0,Yes,0,0,0
578427D,78122,5100.601804345902,0.0,Indifferent,0,Indifferent,1
171324D,20643,4800.7085981575265,1,Yes,0,0,0
1392882D,191419,3300.5324087267313,0.0,Indifferent,0,Indifferent,0
30914D,3537,4201.932563334172,0.0,Yes,0,0,1
2001566112D,82115,2161.0427769607945,0.0,Yes,1,Indifferent,1
386656B,264750,7799.957147723035,0.0,Yes,1,Indifferent,0
195455A,166973,1501.233975367211,1,Indifferent,1,0,1
2000875780D,26849,2699.2546257128656,0.0,Indifferent,1,0,1
2001269107E,10127,600.119206695819,1,Indifferent,1,Indifferent,0
2001933475E,200799,2699.9435447246715,1,Yes,0,0,0
1800338702E,67256,2399.6229575795505,0.0,Yes,0,0,1
2000455208C,69602,2519.1271921934945,0.0,Yes,0,Indifferent,1
2339031D,93051,1199.634353479865,0.0,Indifferent,0,0,1
2000816313C,205995,1200.5774332121778,1,Yes,0,0,1
2001980524C,304449,1498.6924467365836,1,Yes,0,Indifferent,1
1557261C,334362,1200.5845768154995,0.0,Yes,0,0,0
229260B,349029,4200.700468149704,1,Indifferent,0,0,0
462704B,20798,300.0657511674598,1,Indifferent,0,0,0
2001985729E,13577,778.1697626522474,0.0,Yes,1,0,0
394904E,22656,598.4648448843817,0.0,Indifferent,0,Indifferent,0
2398038C,150490,22501.389477398545,0.0,Indifferent,0,Indifferent,1
2002451946E,328739,3598.4983968586716,0.0,Indifferent,1,0,0
1679564B,60449,2400.146351671513,0.0,Indifferent,0,0,0
2001127421B,369399,5099.171680466074,1,Indifferent,0,Indifferent,0
2000141054B,215778,2399.5178681788593,1,Yes,0,Indifferent,0
2002463647E,147254,2100.131164027142,1,Indifferent,0,0,0
2001740301C,44124,8998.877223222937,0.0,Yes,0,Indifferent,1
2000606787A,100122,1501.4779973046102,0.0,Indifferent,0,0,0
1695234C,154400,5281.301698954446,1,Yes,0,Indifferent,0
989094B,380988,600.8606024180094,1,Yes,0,0,0
1701713B,458008,2399.399109491499,0.0,Indifferent,0,0,1
348652E,333418,4800.125601075091,1,Yes,0,Indifferent,1
720784E,234672,2699.78112650036,0.0,Indifferent,0,0,0
1939081B,123357,5399.756660264455,1,Indifferent,0,0,0
518537E,150469,1499.23121112462,0.0,Indifferent,1,0,1
1588257B,2708,1679.8690764127723,0.0,Yes,0,0,0
271353D,115372,2699.0006429823757,1,Indifferent,1,Indifferent,1
960396E,410139,900.5857087468596,0.0,Yes,1,0,0
2001458579A,56366,1202.1415121381676,1,Indifferent,0,Indifferent,0
66708C,89207,1200.4602091768809,0.0,Indifferent,0,0,1
2533797E,81968,900.0341367174881,0.0,Indifferent,0,0,0
1800057738A,4152,2098.317944240432,0.0,Indifferent,1,0,1
24140C,16358,2701.826895202373,0.0,Indifferent,0,0,0
385312E,108562,1500.0919183238425,1,Indifferent,0,Indifferent,0
2894123C,200296,4201.777789992204,0.0,Indifferent,1,0,0
2000931611C,482047,901.9828131900622,1,Indifferent,0,Indifferent,0
381694B,118801,2699.7906095902367,1,Yes,0,Indifferent,0
2001127421B,218172,2701.242915472658,0.0,Indifferent,0,0,0
2038208D,189019,5399.386449492213,1,Indifferent,0,0,0
2000136199B,310536,2100.0856813302694,0.0,Indifferent,1,Indifferent,0
1788388A,136327,4800.000758719074,0.0,Indifferent,0,0,1
11710638C,81891,1199.2030139213878,0.0,Yes,1,0,1
1803786633C,464935,299.95630209197094,0.0,Indifferent,0,Indifferent,1
2217058E,240528,3299.968273928652,0.0,Yes,1,0,1
2001311162C,102111,3599.524232071037,0.0,Indifferent,1,Indifferent,0
1222368B,134257,5399.397074282235,0.0,Yes,0,Indifferent,0
779129A,317305,599.1145384130865,1,Yes,1,Indifferent,1
154522C,80975,120.21938653265282,1,Indifferent,0,0,0
723833D,34753,4499.081235225967,1,Indifferent,0,0,0
2000333540A,352676,3301.217547087485,0.0,Indifferent,1,0,1
356867D,299152,3600.467098512032,1,Indifferent,0,Indifferent,1
2001092253B,72308,3000.684506109594,0.0,Indifferent,0,Indifferent,1
89477A,203261,5698.533899371433,0.0,Indifferent,0,0,1
1004977C,31371,1199.0228121301654,0.0,Yes,1,Indifferent,0
2001414045C,87914,601.1652687960342,1,Indifferent,0,0,0
2002595122C,141497,1319.0744025857468,0.0,Indifferent,1,Indifferent,1
2001462819E,225354,3901.5093118578393,1,Indifferent,0,0,1
2246236E,95823,3000.539565404698,0.0,Yes,1,0,1
2000474556D,13685,900.063795565712,0.0,Indifferent,1,Indifferent,0
1812249D,201865,2098.756950208812,0.0,Indifferent,0,0,0
2239844D,232083,2098.271328105925,1,Indifferent,0,0,0
516153C,82594,1798.192631674205,0.0,Indifferent,0,Indifferent,0
490143C,216744,2099.4797162492932,0.0,Indifferent,0,0,1
36228C,178642,2700.642627374132,0.0,Yes,0,Indifferent,1
2000378475B,48606,2999.0776386246575,1,Indifferent,0,0,0
2000141054B,202859,4801.332864815527,0.0,Yes,1,0,1
2001462186C,38552,2401.805978459103,0.0,Indifferent,1,0,0
1900825D,54351,2998.422948600787,0.0,Yes,0,0,1
2001965232D,386749,300.59366229034066,0.0,Indifferent,0,0,1
2519503B,50270,10499.882582834833,0.0,Yes,1,0,1
1668675A,42821,599.6959391966919,0.0,Yes,0,0,0
2000870276A,171073,2999.8448556267617,1,Indifferent,0,0,1
2002321740C,200802,1800.540931045822,1,Indifferent,1,0,0
221472B,140220,121.02864299492369,1,Yes,1,Indifferent,1
243533C,42126,3598.0133268171717,1,Indifferent,0,0,1
439405E,371539,4797.13796202035,1,Indifferent,0,0,0
317607A,2496,5400.69077681315,0.0,Indifferent,0,Indifferent,0
979978E,140382,2701.0867038128845,1,Indifferent,0,Indifferent,0
1154380E,7568,16500.934631194963,1,Yes,0,0,1
1440828D,274535,1799.3296807019894,0.0,Indifferent,0,Indifferent,0
2000884206C,52212,2398.851133296241,0.0,Yes,1,0,1
1413963B,332686,4200.587732307107,0.0,Indifferent,1,Indifferent,0
546649E,189528,3899.777440221787,0.0,Yes,0,Indifferent,1
2770828A,54283,1200.6616898405696,1,Indifferent,0,0,0
42900E,267355,2400.2624255300375,0.0,Indifferent,0,0,0
1362275E,188027,3300.621564583707,1,Indifferent,1,Indifferent,0
2277685E,99284,2099.650036101541,0.0,Indifferent,0,0,1
1859521C,113229,13798.528250634734,0.0,Indifferent,1,Indifferent,0
242700D,63517,4500.568561604643,0.0,Yes,1,Indifferent,1
1073154D,214973,4200.065436159252,1,Indifferent,0,0,0
2001559879E,71197,59.38569252568029,0.0,Indifferent,1,0,1
2001601402D,99077,2397.695598202927,0.0,Indifferent,1,Indifferent,1
96394E,126407,1798.1282025787557,0.0,Indifferent,0,Indifferent,0
2000914202D,44400,599.797770798503,0.0,Indifferent,0,0,0
554644C,25667,118.83165112802916,1,Yes,0,0,0
770595D,31037,2101.1953629133104,0.0,Indifferent,0,0,1
376026C,64927,300.8433400924627,1,Yes,1,0,0
2001806481C,85839,2399.6807027049385,1,Yes,0,0,1
1569722B,17186,2700.086957368264,0.0,Indifferent,0,0,1
2907986D,160251,5939.144383760893,0.0,Yes,0,0,0
2000498192D,139396,12899.65327054064,1,Indifferent,0,Indifferent,1
1612570D,118761,900.157523550798,1,Yes,1,Indifferent,1
131498D,68850,599.6082918703859,0.0,Indifferent,0,0,1
293797D,33085,601.0437969720616,1,Yes,0,0,1
41323770B,60981,7798.761665902453,0.0,Indifferent,0,0,0
62715D,63466,2399.3213875249617,0.0,Indifferent,0,0,1
1507817A,80734,841.3405929059936,1,Yes,1,0,1
799928B,335376,6899.751748903151,0.0,Indifferent,0,Indifferent,1
2795497C,23036,4800.696686247931,0.0,Yes,1,Indifferent,1
915458C,364129,4318.974096698969,0.0,Yes,1,0,1
2919616E,344609,6901.066045832026,0.0,Indifferent,0,Indifferent,1
1556659C,355877,1201.4246336247318,1,Indifferent,0,0,0
2000760057B,135438,1081.2211504030347,0.0,Yes,1,0,0
1800043204A,74594,1799.7667416833135,0.0,Indifferent,0,0,1
1625155A,94673,4199.842370041248,0.0,Indifferent,0,0,0
1595555A,335197,900.7968764380754,0.0,Yes,0,0,0
2744293D,42564,4800.544233909011,1,Indifferent,0,Indifferent,1
2002359523A,81996,2099.108659005278,1,Indifferent,1,0,1
2002030275C,194466,5399.286367742132,0.0,Indifferent,0,0,1
916480A,15420,899.8329719149125,0.0,Yes,0,0,1
972515D,112974,2399.0629692934235,0.0,Indifferent,1,Indifferent,0
2492330C,301754,29102.50797675636,0.0,Yes,0,Indifferent,0
562526E,74651,2400.1025033386404,0.0,Yes,0,Indifferent,0
2710176E,264354,1499.9197172081438,1,Indifferent,0,0,0
206134A,436197,2399.975701795594,1,Indifferent,1,Indifferent,0
18920C,263674,7499.794659010558,1,Indifferent,1,Indifferent,0
1712894C,77654,2999.005258926082,1,Indifferent,1,0,0
1669273B,22201,2400.55089194679,0.0,Indifferent,0,0,0
2001624298E,54225,1798.835822934209,0.0,Yes,1,0,0
1440531E,13269,2100.7606148366817,1,Yes,1,0,0
2924188E,129114,6299.216910548608,0.0,Yes,0,Indifferent,1
890016B,33777,2400.923128821375,1,Indifferent,0,0,0
2002121528D,185753,1500.5023236647703,1,Yes,0,Indifferent,0
2640829E,486641,1198.956371655402,0.0,Indifferent,0,Indifferent,0
70977D,28208,2398.4029913518825,1,Yes,1,Indifferent,1
570587B,434140,778.9542678383543,1,Indifferent,1,Indifferent,1
490143C,38705,1499.54645862565,0.0,Indifferent,1,Indifferent,1
1803025794D,425661,15301.5201404108,0.0,Yes,0,Indifferent,0
2000455877B,382235,600.0099853604695,0.0,Yes,0,Indifferent,0
1920450C,61747,3600.239260095069,1,Indifferent,0,0,1
1330270A,156144,4498.745740037058,0.0,Yes,0,Indifferent,0
147925C,50896,1499.4954600393846,1,Yes,0,0,1
463495D,49896,1800.014219918938,0.0,Indifferent,1,0,0
767382D,40865,599.9869868924163,0.0,Indifferent,0,0,1
765130E,43320,1801.673224997237,0.0,Indifferent,0,0,1
180246D,190410,4799.082382512329,1,Indifferent,1,0,1
2810361A,79427,599.6143175774696,0.0,Indifferent,0,0,0
2001328492C,232902,1799.0444909224757,0.0,Indifferent,0,0,1
707361D,109264,301.2921603062883,1,Yes,0,0,0
2577188D,505636,2698.723626764459,1,Indifferent,0,0,0
2276512B,374417,3301.792099412952,0.0,Indifferent,0,0,0
1154888E,459075,4200.184680357233,0.0,Indifferent,0,0,0
2899117A,84545,901.4863191518184,1,Indifferent,0,Indifferent,1
2002705865C,118047,2998.884071388032,0.0,Indifferent,1,0,1
1272413C,54184,3298.8791055315864,0.0,Yes,0,0,1
2000243807D,2670,5443197.587805117,1,Indifferent,1,Indifferent,1
2002761237A,159618,958.4439803109252,1,Yes,1,0,0
454770E,287636,1318.8480459568664,0.0,Indifferent,0,0,1
629055A,19090,300.39471595440256,0.0,Indifferent,0,Indifferent,1
2000170041A,32014,15299.302185176732,0.0,Indifferent,1,Indifferent,1
490143C,135090,2399.8007956144243,1,Indifferent,0,Indifferent,0
1374396B,88038,1800.7890693806976,1,Indifferent,1,Indifferent,0
365690A,73921,299.3428165605424,1,Indifferent,1,0,0
618028E,208401,600.4125565629341,0.0,Yes,1,0,1
210098A,210419,3898.21252349533,0.0,Indifferent,0,0,0
2002087784B,345328,2100.364768176082,1,Yes,1,0,0
2001961001B,78814,1800.953925324456,0.0,Indifferent,1,Indifferent,0
2000584995A,201001,899.8342519948158,0.0,Yes,0,0,1
570256B,188586,600.0690637305884,0.0,Indifferent,0,0,0
135017D,10459,1200.7662061189587,0.0,Yes,1,0,1
2002170087A,10353,18302.14344748111,0.0,Yes,1,0,1
2000234778D,310818,2401.7057567563743,0.0,Indifferent,0,Indifferent,0
1578873E,94195,30299.549162866857,0.0,Yes,0,0,0
143146C,83205,2999.2350031022784,1,Indifferent,0,0,1
1633490E,38564,8101.398761081445,1,Indifferent,1,0,0
343561E,177539,4800.179828268958,0.0,Indifferent,1,Indifferent,0
2922673A,48855,2100.5130188678927,0.0,Indifferent,1,0,0
1925474A,103767,3299.8418854927113,0.0,Indifferent,1,0,1
1803544691B,125238,1499.3661820733205,1,Yes,0,0,1
2000242832E,71203,1800.598211401328,1,Indifferent,0,0,0
1800093616E,484315,1800.589336811115,0.0,Indifferent,0,0,0
156637E,332695,4499.561016164553,0.0,Indifferent,1,0,0
104168A,112705,1800.1058774931282,0.0,Indifferent,0,0,1
751444B,231194,2100.0703166767626,1,Yes,0,Indifferent,0
919834D,98636,1499.3784511430797,0.0,Indifferent,0,Indifferent,0
1749627E,321466,7200.430671830573,0.0,Indifferent,0,0,1
2000688673E,61141,1321.1339116044417,1,Indifferent,1,Indifferent,1
983121B,63509,4198.782085833441,0.0,Yes,0,Indifferent,1
11643471E,295679,1201.1884391582385,0.0,Yes,0,0,0
2002361851D,72308,2999.7921094973685,0.0,Indifferent,0,0,0
1812579D,104086,8397.89613030276,1,Indifferent,1,0,1
2001388884C,37241,301.2375097299232,0.0,Yes,1,Indifferent,1
2232000D,173003,3297.8681002914823,0.0,Indifferent,0,Indifferent,1
2000870276A,239472,3899.454985206496,0.0,Indifferent,0,0,0
487864E,409844,2399.636015735554,0.0,Indifferent,0,0,0
2002170087A,273842,3299.53680312437,0.0,Yes,0,Indifferent,1
2001343841D,161530,2999.8617777932855,0.0,Yes,0,0,1
2001993126E,33869,1019.7052469564094,0.0,Yes,0,0,0
944435C,354028,299.25697265040645,0.0,Indifferent,0,0,1
2001892544D,439307,1801.508003233352,0.0,Yes,1,0,0
2027782B,10614,2999.3488170634764,1,Indifferent,0,0,1
2087934E,101933,5400.185895423197,0.0,Indifferent,0,Indifferent,1
1593230B,184950,1199.4789618946938,1,Yes,0,0,0
37184C,431071,4500.554198065699,0.0,Yes,1,Indifferent,1
589009E,133062,2999.6941132471343,0.0,Yes,1,Indifferent,0
2000330970B,41893,2999.0768719956686,1,Yes,0,Indifferent,0
45564320D,37200,29701.107723486417,0.0,Yes,1,0,0
2001286612E,241181,1919.1298787365808,0.0,Indifferent,0,0,0
600397C,14808,1800.0713534897602,0.0,Indifferent,0,Indifferent,1
2000034621B,147496,2760.8610568765575,0.0,Yes,1,0,0
2001306521A,57124,4801.366603924139,1,Indifferent,1,Indifferent,0
1434234C,34881,3599.84345948395,0.0,Yes,1,Indifferent,0
683746A,87774,4499.340765133396,0.0,Yes,0,Indifferent,0
1800556379C,119255,3897.0316530574023,0.0,Indifferent,0,0,1
488773C,258558,899.4366053483162,1,Yes,0,Indifferent,1
2955934D,108766,598.2963167657533,1,Indifferent,0,0,0
1599055B,134183,4499.391230266905,0.0,Indifferent,1,0,0
1019804B,81367,7800.594020817915,0.0,Indifferent,0,0,0
2001838832B,14911,600.6652068744397,1,Indifferent,1,0,1
396399A,60849,2101.110944844666,0.0,Yes,0,Indifferent,1
1023010A,103215,2399.658072481864,0.0,Yes,0,0,1
1803101168E,224702,3600.4802167451785,1,Indifferent,0,Indifferent,0
518537E,75141,4199.794036744203,0.0,Indifferent,0,Indifferent,0
2001213759C,25972,4202.039939836883,1,Indifferent,0,0,0
774906D,416010,898.8659204342982,0.0,Indifferent,0,0,1
2002411426D,4050,1199.413312305209,0.0,Yes,1,0,1
2002232038A,174938,3000.8612689529064,1,Yes,0,0,1
4203D,184537,2099.590196230952,0.0,Indifferent,0,0,1
884434B,233240,3899.566997606119,0.0,Indifferent,0,0,1
1800012A,66976,2700.342653576999,1,Indifferent,1,0,0
