AuthorId,Diet,Age
1001635C,Omnivore,56
1001642E,Omnivore,46
1001646A,Vegetarian,56
1001649C,Omnivore,28
1001652C,Vegetarian,62
1001660A,Vegetarian,33
1001667A,Vegan,79
1001678B,Vegetarian,72
1001714A,Vegetarian,72
1001718A,Omnivore,38
1001736A,Vegetarian,35
1001740C,Vegetarian,79
1001794D,Vegetarian,73
1001799A,Omnivore,28
1001827E,Vegetarian,63
1001833C,Omnivore,33
1001837C,Vegan,25
100183E,Omnivore,21
100185E,Vegan,50
1001865E,Omnivore,37
1001872C,Omnivore,75
1001874C,Vegan,33
1001883C,Vegetarian,65
100189E,Vegan,76
100190D,Omnivore,72
1001924C,Vegetarian,56
1001941B,Vegan,38
1001947B,Vegan,36
1001959A,Omnivore,79
100196E,Vegan,32
1001984C,Vegan,72
1001995E,Vegetarian,66
100199A,Vegetarian,79
1002007A,Vegan,30
1002018E,Vegan,51
1002020C,Vegetarian,65
1002035E,Vegetarian,43
100203B,Vegetarian,47
100207D,Vegan,25
1002082E,Vegan,72
1002102E,Vegan,69
1002104C,Omnivore,78
1002106D,Vegan,62
1002107D,Vegan,69
1002124A,Omnivore,18
100214C,Omnivore,62
1002172D,Omnivore,40
1002175B,Vegan,76
1002211C,Vegetarian,61
1002215A,Vegan,60
100221A,Vegetarian,64
1002228C,Vegetarian,75
1002258E,Vegan,32
1002259B,Vegan,76
100225A,Vegetarian,51
1002265C,Vegetarian,62
1002292C,Vegetarian,65
1002329C,Vegetarian,39
1002333B,Vegetarian,47
1002337C,Omnivore,67
1002338C,Vegetarian,55
1002356E,Vegetarian,42
1002357B,Omnivore,66
1002365E,Omnivore,72
1002391C,Vegetarian,25
1002418E,Vegan,22
1002425E,Vegetarian,28
1002438B,Vegetarian,22
100246D,Vegetarian,76
1002521C,Vegetarian,58
100253A,Omnivore,74
100254A,Vegan,35
1002558B,Omnivore,37
1002559E,Vegan,43
1002580C,Vegan,31
100259E,Omnivore,22
1002601C,Vegetarian,63
100261D,Vegetarian,79
100262A,Vegan,72
1002639D,Omnivore,64
1002651D,Vegetarian,77
1002673D,Omnivore,68
100267A,Omnivore,57
1002689E,Omnivore,59
1002707C,Vegetarian,65
1002713D,Omnivore,43
1002733E,Omnivore,22
1002756A,Vegetarian,61
1002762B,Vegetarian,79
1002763E,Vegan,68
1002777A,Omnivore,20
1002782B,Vegetarian,24
1002792D,Vegetarian,28
1002806E,Vegan,73
1002817A,Vegetarian,31
1002828A,Vegetarian,64
1002829B,Omnivore,44
1002864B,Vegetarian,49
1002868C,Vegetarian,42
100286E,Vegetarian,68
1002884C,Vegetarian,24
1002889B,Omnivore,37
1002892E,Vegan,68
10028B,Vegetarian,69
1002902C,Vegetarian,34
1002913D,Vegan,42
100292A,Vegetarian,44
1002930E,Vegetarian,28
10029385A,Omnivore,63
1002950C,Vegan,69
1002960B,Vegetarian,19
100296B,Vegetarian,23
1002979C,Vegan,62
1003012A,Vegetarian,35
1003032B,Vegetarian,64
1003039C,Vegetarian,65
1003080D,Omnivore,30
1003090A,Vegetarian,76
1003103A,Omnivore,45
1003111E,Vegetarian,54
100311A,Omnivore,51
1003150E,Vegan,57
1003166A,Vegetarian,22
1003185D,Vegetarian,74
1003189D,Vegan,23
1003193B,Omnivore,44
1003214B,Vegetarian,31
1003240E,Vegetarian,28
1003254D,Vegan,51
100325C,Vegetarian,29
1003260D,Vegetarian,58
1003295A,Vegetarian,26
1003326B,Vegan,77
1003357A,Omnivore,30
100335C,Vegetarian,66
100337A,Omnivore,35
100339A,Vegetarian,54
10033C,Vegetarian,74
1003403A,Vegetarian,34
1003404A,Vegetarian,76
1003406C,Vegetarian,34
100340A,Vegetarian,29
1003426A,Omnivore,57
1003439C,Vegetarian,53
1003447A,Vegetarian,69
1003454A,Vegetarian,25
1003473D,Vegetarian,56
1003492B,Vegetarian,62
1003501D,Vegetarian,62
1003511D,Vegetarian,30
1003519D,Omnivore,79
100351E,Vegetarian,60
100354B,Omnivore,65
1003561D,Omnivore,37
1003579A,Omnivore,57
1003586A,Vegan,77
1003599E,Vegetarian,27
1003604A,Vegetarian,65
1003626A,Vegan,54
1003628D,Vegan,75
1003636E,Vegetarian,59
1003643C,Omnivore,77
1003657B,Vegetarian,44
1003659A,Vegan,48
1003689C,Vegetarian,30
1003704A,Omnivore,32
1003754B,Vegan,64
10037559D,Omnivore,63
1003755B,Omnivore,52
100377B,Vegetarian,64
1003786D,Vegetarian,78
1003789D,Vegetarian,20
1003797B,Vegetarian,55
100379A,Vegetarian,67
1003808A,Omnivore,67
1003809A,Omnivore,29
1003819A,Vegan,22
1003834C,Vegan,40
1003891B,Omnivore,71
1003897C,Vegetarian,72
100390B,Vegetarian,20
1003912E,Vegetarian,56
1003915B,Omnivore,58
1003929D,Omnivore,53
100395C,Vegetarian,53
1003989C,Vegan,57
1004017A,Vegetarian,47
1004025B,Vegetarian,29
1004031B,Vegetarian,65
1004045B,Vegetarian,74
1004055A,Omnivore,25
1004061C,Omnivore,41
1004069C,Vegan,65
100406C,Vegan,78
1004081A,Vegetarian,28
1004082C,Vegetarian,50
1004102E,Omnivore,45
1004111C,Vegetarian,20
1004114E,Vegetarian,37
1004127E,Vegetarian,63
100413D,Vegan,37
1004150A,Vegetarian,74
1004156E,Omnivore,52
1004164E,Vegetarian,77
1004179B,Vegetarian,64
1004184C,Vegetarian,21
1004189A,Vegan,24
1004217A,Vegetarian,62
100421C,Vegan,52
1004235A,Vegetarian,39
100423C,Vegan,76
1004254C,Vegetarian,77
1004289E,Vegetarian,20
1004374C,Vegetarian,48
1004379E,Vegan,26
1004384A,Vegetarian,66
1004395A,Omnivore,67
1004434C,Vegetarian,37
1004452C,Omnivore,47
1004455C,Omnivore,21
1004466D,Omnivore,64
1004471B,Vegetarian,18
1004476C,Vegan,37
1004490B,Vegan,75
1004494C,Omnivore,51
1004540E,Vegetarian,22
1004541A,Omnivore,55
100460D,Omnivore,25
100463D,Omnivore,78
1004651B,Vegetarian,44
1004672D,Vegan,62
1004694B,Vegetarian,29
1004700B,Vegetarian,60
1004703C,Vegan,28
100471C,Vegan,18
100472C,Vegetarian,57
1004745A,Vegetarian,72
100476B,Vegan,65
1004779E,Omnivore,49
1004786C,Vegan,43
10047B,Omnivore,64
1004811A,Omnivore,77
1004818A,Vegan,56
1004835C,Omnivore,59
1004839D,Vegetarian,37
1004881E,Omnivore,21
1004904B,Vegan,54
1004906E,Vegetarian,55
1004933C,Vegan,35
1004934D,Vegetarian,26
1004941D,Omnivore,64
1004943B,Vegetarian,42
1004957A,Vegetarian,39
1004977C,Vegetarian,24
100499E,Omnivore,28
1005016E,Omnivore,49
1005028B,Omnivore,58
1005087A,Vegetarian,50
100508C,Vegetarian,72
1005113A,Omnivore,33
1005123C,Omnivore,46
1005140A,Vegan,49
1005147C,Vegetarian,28
1005182E,Omnivore,53
1005193D,Vegetarian,77
1005204A,Vegetarian,66
1005210C,Vegetarian,23
1005211E,Vegetarian,57
1005244C,Omnivore,47
1005246E,Vegan,76
1005259E,Vegan,22
100526C,Vegan,59
1005276B,Vegetarian,47
1005301E,Vegetarian,79
1005303B,Vegetarian,58
1005306B,Vegetarian,54
1005363B,Omnivore,46
1005385D,Vegetarian,75
1005393E,Omnivore,36
1005395D,Omnivore,20
10053E,Vegan,32
100540E,Vegetarian,28
1005418A,Vegetarian,44
100543B,Vegetarian,45
1005450E,Omnivore,50
100545B,Vegan,55
1005491E,Vegetarian,78
10054C,Vegan,41
1005502E,Vegan,39
1005532D,Vegetarian,30
100555D,Omnivore,65
1005575C,Omnivore,33
1005591C,Omnivore,63
1005604A,Omnivore,68
1005623E,Vegetarian,20
1005625E,Vegetarian,72
1005633C,Vegetarian,77
1005644C,Omnivore,25
1005662D,Vegetarian,59
1005668A,Vegetarian,45
1005669A,Omnivore,56
100566A,Omnivore,59
1005695E,Vegetarian,40
100570A,Vegetarian,38
1005711E,Vegetarian,43
1005739B,Vegetarian,44
1005780B,Vegan,79
100579E,Vegetarian,59
1005800B,Vegetarian,43
1005801A,Vegan,55
1005803E,Omnivore,63
1005808C,Vegan,63
1005817A,Vegetarian,33
1005837C,Vegan,62
1005843B,Omnivore,71
1005883A,Vegetarian,73
1005886D,Vegetarian,28
1005913A,Omnivore,74
1005914B,Vegan,53
1005938B,Vegetarian,27
1005957C,Vegan,79
100597E,Omnivore,51
1005980E,Vegetarian,53
1005993D,Vegan,65
1006007B,Vegan,76
1006011E,Omnivore,66
1006020E,Vegetarian,67
1006032C,Vegetarian,20
1006047A,Omnivore,52
1006062A,Vegan,29
100608C,Omnivore,79
1006130E,Vegetarian,64
1006135C,Vegetarian,34
1006164A,Omnivore,30
1006166D,Omnivore,47
1006170E,Omnivore,58
100618D,Vegetarian,23
1006203E,Vegan,41
10062098E,Vegetarian,39
1006215B,Omnivore,62
100621E,Vegetarian,22
1006230D,Vegetarian,59
1006232A,Vegetarian,60
1006244A,Vegetarian,58
1006251C,Omnivore,64
1006254A,Omnivore,43
1006269A,Vegan,53
1006272C,Omnivore,69
1006293E,Vegetarian,46
1006299E,Omnivore,28
10063128A,Vegetarian,57
100631B,Vegetarian,23
1006327E,Vegetarian,59
1006334A,Vegetarian,34
1006341E,Omnivore,66
100636B,Vegan,78
1006403A,Omnivore,67
1006404D,Omnivore,44
10064090B,Omnivore,72
100641C,Omnivore,71
1006429B,Vegetarian,36
1006457E,Vegetarian,41
1006458C,Vegetarian,58
1006466E,Vegetarian,24
100647A,Omnivore,30
1006486D,Vegan,39
1006490A,Vegan,70
1006498E,Vegan,46
1006505D,Vegetarian,20
1006507A,Omnivore,69
1006517B,Vegetarian,74
1006518E,Vegetarian,79
1006526C,Vegan,71
1006527D,Omnivore,32
10065368A,Vegan,38
1006536D,Omnivore,19
100653D,Omnivore,68
1006562E,Vegetarian,69
1006571C,Vegetarian,75
1006596A,Vegan,51
10066072E,Omnivore,67
1006622E,Vegan,44
1006625E,Vegan,61
1006634C,Vegetarian,48
100663B,Vegetarian,63
1006642C,Vegetarian,39
1006653E,Vegetarian,45
10066622C,Omnivore,67
1006665E,Vegetarian,42
100666E,Vegetarian,46
100668D,Vegetarian,32
1006706D,Vegetarian,54
100670C,Vegetarian,74
1006712E,Vegetarian,65
1006719A,Vegan,76
100674D,Vegetarian,78
100677E,Vegetarian,44
1006795B,Vegan,56
1006806D,Omnivore,54
100685E,Vegetarian,47
100688C,Vegetarian,67
10068B,Vegan,49
1006911E,Omnivore,54
1006972C,Vegan,18
1006978E,Vegetarian,24
1006998B,Vegetarian,64
10069B,Vegetarian,44
1007010D,Vegan,71
1007015E,Vegetarian,63
1007038E,Omnivore,76
1007084A,Vegan,32
1007094C,Vegetarian,58
1007140D,Vegan,57
1007146D,Vegan,27
1007155C,Omnivore,44
1007193E,Omnivore,29
1007197A,Omnivore,44
1007198E,Vegan,25
1007242D,Vegetarian,38
1007246A,Omnivore,67
1007249D,Omnivore,71
1007252B,Vegetarian,57
1007259A,Vegetarian,42
1007266A,Vegan,47
1007296C,Vegetarian,64
1007301C,Vegan,23
1007308C,Omnivore,28
1007310E,Vegetarian,65
1007333A,Vegan,64
100733A,Omnivore,26
1007346E,Omnivore,48
100735D,Vegetarian,75
1007368E,Omnivore,24
1007392D,Omnivore,23
1007394A,Vegan,67
1007397A,Omnivore,75
100739A,Vegetarian,19
1007427A,Vegetarian,30
1007443E,Vegan,24
1007456A,Omnivore,30
1007469A,Omnivore,63
100747D,Vegetarian,44
10074913C,Vegan,63
10075081C,Vegetarian,68
1007522E,Omnivore,41
1007529E,Omnivore,63
100753A,Omnivore,55
1007540D,Vegetarian,46
1007548E,Vegetarian,70
1007586B,Omnivore,31
1007594B,Vegan,55
10075C,Omnivore,48
1007609B,Vegetarian,56
1007610C,Omnivore,57
1007616E,Vegan,45
1007619B,Vegetarian,79
1007622D,Omnivore,78
1007625C,Vegan,57
1007653E,Vegan,28
1007657D,Vegetarian,18
100768D,Vegetarian,60
100770C,Vegetarian,37
1007722B,Vegetarian,55
1007729C,Vegan,48
1007775E,Vegetarian,64
1007776B,Vegetarian,22
100777A,Vegetarian,40
1007796E,Vegetarian,23
1007800B,Vegetarian,46
1007815A,Vegetarian,23
1007821A,Vegetarian,44
1007832C,Omnivore,64
1007837C,Omnivore,78
1007839D,Omnivore,21
100783C,Omnivore,19
1007882D,Vegetarian,20
100788D,Vegetarian,77
1007890D,Vegetarian,69
1007893E,Omnivore,63
1007920E,Vegetarian,65
100794D,Vegetarian,78
1007962E,Vegetarian,26
1007972C,Vegetarian,71
100797B,Vegetarian,79
1008003E,Vegetarian,46
100800B,Omnivore,75
1008029B,Omnivore,66
1008031B,Omnivore,63
1008067C,Vegetarian,79
1008075A,Vegetarian,75
100811E,Omnivore,53
1008135A,Omnivore,68
1008137B,Omnivore,26
1008142E,Vegetarian,39
100815D,Vegetarian,22
1008166B,Vegetarian,49
1008175D,Omnivore,48
1008208C,Vegetarian,74
1008210B,Vegan,49
100822E,Omnivore,18
100823E,Omnivore,46
1008245C,Omnivore,63
100824C,Omnivore,32
1008265E,Omnivore,34
1008276D,Vegetarian,26
1008339E,Omnivore,29
100837B,Vegetarian,77
1008402D,Vegan,77
1008410D,Vegan,51
1008441D,Vegetarian,59
1008442E,Omnivore,75
1008454B,Vegetarian,31
1008493C,Vegetarian,36
1008522C,Vegan,37
1008568A,Omnivore,20
100856D,Vegetarian,68
1008587B,Vegetarian,64
1008653A,Vegetarian,32
1008654D,Omnivore,37
10087010E,Vegan,69
1008704C,Vegetarian,43
1008741E,Omnivore,62
1008742D,Vegan,63
1008752C,Vegetarian,75
1008782B,Omnivore,39
1008796D,Vegetarian,61
1008807D,Vegetarian,47
10088216B,Vegetarian,62
1008909B,Omnivore,28
1008916C,Omnivore,21
100891B,Vegan,77
1008922D,Vegetarian,18
1008923A,Omnivore,37
100893E,Vegetarian,26
1008949D,Omnivore,47
100896D,Vegan,40
1008977B,Vegetarian,23
100898C,Omnivore,26
1008996E,Omnivore,54
1009003D,Omnivore,75
1009004D,Vegetarian,69
1009013B,Omnivore,21
1009019E,Vegetarian,40
1009026E,Omnivore,42
1009029C,Omnivore,69
1009038C,Vegetarian,46
1009046B,Vegan,27
1009072B,Vegetarian,58
1009089B,Vegetarian,67
1009109D,Vegetarian,77
1009115A,Vegan,70
1009119C,Vegan,37
1009120B,Vegan,61
1009143B,Omnivore,70
1009146B,Omnivore,63
100914E,Omnivore,79
1009160C,Vegetarian,29
1009166D,Vegetarian,46
1009191C,Vegan,18
1009208B,Vegetarian,25
100920B,Vegetarian,39
1009217D,Vegan,50
1009223E,Vegetarian,68
100922D,Vegetarian,56
1009243C,Omnivore,65
1009244D,Vegan,23
100924C,Vegetarian,58
1009265B,Omnivore,22
100930B,Vegetarian,37
1009321B,Vegetarian,52
1009327B,Vegetarian,58
1009447E,Vegetarian,42
100949C,Omnivore,75
1009562B,Vegan,44
10095635D,Omnivore,74
10095E,Vegetarian,21
1009637B,Vegan,32
100963B,Omnivore,79
100964A,Omnivore,19
1009652E,Vegetarian,35
1009654A,Vegetarian,23
1009675B,Vegetarian,78
1009677C,Vegetarian,40
1009684A,Vegan,30
100974C,Vegetarian,52
1009760B,Vegan,57
10097736C,Vegetarian,46
100978B,Vegetarian,62
10097B,Omnivore,46
100980B,Vegetarian,72
1009815C,Vegan,44
1009822B,Vegetarian,49
1009840B,Vegetarian,20
1009853E,Omnivore,23
1009854C,Vegetarian,38
100985C,Vegan,56
1009921A,Omnivore,75
1009922B,Omnivore,30
1009945C,Vegetarian,18
1009947A,Vegetarian,24
100994D,Vegetarian,73
100995B,Omnivore,79
1009963B,Vegetarian,36
100997A,Vegetarian,18
1009983C,Vegetarian,55
100998B,Vegetarian,68
10099C,Vegetarian,63
1010011C,Vegetarian,19
10100196E,Vegetarian,54
1010031C,Omnivore,37
1010033E,Vegan,34
1010119A,Vegetarian,37
101011D,Vegetarian,47
1010124C,Omnivore,77
1010147B,Vegetarian,44
1010151E,Vegetarian,61
1010158E,Vegetarian,42
101017E,Vegan,50
1010205C,Vegetarian,64
1010221D,Vegetarian,67
1010234D,Omnivore,62
1010253E,Vegan,46
1010264A,Omnivore,38
1010284A,Vegetarian,75
1010298D,Vegetarian,51
1010319A,Omnivore,41
1010325C,Vegetarian,61
1010337B,Vegetarian,67
1010338D,Vegetarian,75
101034B,Vegetarian,32
1010356C,Vegetarian,29
1010367E,Vegan,75
1010371B,Vegetarian,66
1010380B,Vegan,52
1010412D,Vegetarian,31
1010418E,Vegetarian,74
1010423E,Vegetarian,43
1010429E,Omnivore,33
101043D,Omnivore,41
1010448A,Vegetarian,43
10105065A,Vegan,51
1010516E,Omnivore,66
1010517C,Omnivore,53
1010518E,Vegetarian,28
101053C,Omnivore,43
1010551A,Vegetarian,23
1010583C,Omnivore,75
1010598A,Vegetarian,65
10105D,Vegetarian,37
1010605D,Vegetarian,48
1010620B,Vegan,45
101065D,Vegetarian,39
1010661C,Vegetarian,21
1010671E,Omnivore,48
1010678A,Vegetarian,25
101069D,Vegetarian,68
1010701B,Vegetarian,22
1010703C,Vegan,78
1010709B,Vegetarian,74
1010722D,Vegetarian,29
1010725D,Vegetarian,55
1010733B,Vegetarian,60
1010741E,Omnivore,57
1010749B,Vegetarian,19
1010750A,Vegan,39
1010789A,Vegetarian,18
101079C,Omnivore,23
1010800A,Vegetarian,21
1010808E,Vegetarian,55
1010810C,Vegan,20
101083E,Vegetarian,62
1010840A,Omnivore,32
1010848D,Vegetarian,74
1010863C,Vegan,75
1010907A,Vegetarian,27
1010914B,Vegan,64
1010930D,Vegan,70
1010946A,Omnivore,31
1010953C,Vegetarian,21
1010972B,Vegetarian,25
1010976D,Vegetarian,64
1010982A,Omnivore,30
101100A,Vegan,68
101101D,Vegan,44
1011027E,Vegetarian,46
1011072C,Vegan,36
1011076B,Vegan,57
1011091D,Omnivore,48
101110E,Vegetarian,46
1011115B,Omnivore,52
1011119D,Omnivore,55
1011127D,Vegetarian,56
101113C,Omnivore,77
1011160D,Vegan,51
1011172B,Vegan,73
1011194E,Vegetarian,35
1011198E,Vegetarian,71
1011230D,Vegetarian,50
1011273E,Vegetarian,28
1011282C,Vegan,71
1011292D,Vegan,69
1011373E,Omnivore,72
1011387D,Vegan,39
1011394C,Vegetarian,73
10113A,Omnivore,41
1011407C,Vegan,35
1011446D,Vegan,33
101145B,Vegetarian,63
101146A,Vegetarian,63
101147B,Omnivore,69
1011482A,Vegetarian,22
1011502E,Vegetarian,78
1011507A,Vegan,78
1011527D,Omnivore,22
1011531B,Vegetarian,66
101153E,Vegetarian,42
1011567D,Vegan,66
1011583D,Omnivore,73
1011585D,Vegetarian,54
10115882E,Vegetarian,66
1011607C,Omnivore,56
1011622D,Vegan,74
1011624B,Vegetarian,45
1011646E,Vegetarian,25
1011647B,Omnivore,59
1011666A,Vegetarian,74
101166E,Omnivore,18
1011674E,Vegetarian,57
101167B,Vegetarian,72
1011680A,Vegetarian,36
1011689A,Vegan,56
101168B,Omnivore,71
1011702B,Vegetarian,75
1011723B,Omnivore,27
1011749D,Vegetarian,59
1011756D,Vegetarian,48
1011767B,Vegetarian,79
1011770C,Vegetarian,27
1011783A,Omnivore,67
101180E,Vegetarian,23
1011811B,Vegetarian,67
1011827A,Vegetarian,36
1011848A,Vegetarian,21
101184D,Vegetarian,64
1011855C,Vegan,38
1011862B,Vegan,44
101186A,Vegan,32
1011910A,Vegan,59
1011914A,Omnivore,33
101192C,Vegetarian,30
101193C,Vegetarian,74
1011948E,Omnivore,44
1011953E,Omnivore,50
1011973A,Vegan,65
101197C,Vegetarian,26
1011985D,Vegetarian,43
1011996D,Omnivore,61
1011999C,Vegetarian,71
101199C,Vegetarian,69
1012002B,Vegan,41
1012040E,Omnivore,24
1012044A,Omnivore,59
1012048D,Omnivore,67
101204B,Vegetarian,43
10120B,Vegan,30
1012114E,Vegetarian,42
1012117C,Vegan,64
1012120A,Omnivore,46
101214D,Vegetarian,32
1012165D,Omnivore,60
1012168B,Vegetarian,72
1012181E,Vegan,26
1012188E,Vegetarian,78
1012192C,Vegetarian,21
1012195A,Vegetarian,69
1012197A,Vegetarian,66
1012201C,Vegan,25
1012204E,Vegetarian,22
1012205C,Vegan,44
101222A,Vegetarian,61
1012230C,Omnivore,33
1012231D,Omnivore,50
1012250D,Vegetarian,27
101226D,Omnivore,49
1012270D,Vegetarian,43
1012273E,Vegetarian,20
1012279B,Vegetarian,28
1012318C,Vegan,20
1012345D,Omnivore,60
1012370D,Vegetarian,42
1012385E,Vegetarian,48
1012395A,Vegetarian,24
101239B,Omnivore,37
1012414C,Omnivore,22
1012422D,Omnivore,46
1012428A,Omnivore,18
1012484B,Omnivore,78
101248A,Omnivore,22
101253B,Vegetarian,66
101254D,Vegan,42
1012555C,Omnivore,20
1012604D,Vegetarian,43
1012605C,Omnivore,66
1012617B,Vegan,48
1012631E,Vegetarian,71
1012637A,Vegetarian,54
1012643C,Vegetarian,32
1012647D,Vegetarian,61
101264A,Omnivore,61
10126503B,Vegan,45
1012669D,Vegetarian,42
1012707A,Vegetarian,69
1012712B,Vegetarian,24
101271E,Vegetarian,72
1012721E,Omnivore,65
101274B,Vegetarian,23
1012753C,Omnivore,51
101275B,Vegetarian,18
1012764E,Omnivore,34
1012790E,Vegetarian,65
10127B,Omnivore,25
1012828D,Vegetarian,20
101282B,Vegetarian,59
1012833E,Vegetarian,60
1012865C,Omnivore,33
1012877A,Vegetarian,21
1012889E,Vegetarian,76
1012892C,Omnivore,64
1012922E,Vegetarian,29
101292C,Omnivore,39
101293E,Omnivore,52
1012943D,Vegetarian,39
1012944C,Vegetarian,34
1012957D,Vegetarian,70
1012958C,Omnivore,59
101295A,Omnivore,44
1012969C,Vegan,68
101298B,Vegetarian,47
10129C,Omnivore,34
1013017A,Vegetarian,24
101301E,Vegetarian,36
1013035B,Omnivore,51
101303A,Omnivore,19
1013044D,Vegetarian,46
1013074A,Vegan,61
1013084B,Vegetarian,38
101308C,Vegetarian,65
1013120C,Vegetarian,32
1013122A,Omnivore,71
1013123E,Omnivore,66
1013144C,Vegetarian,57
1013161D,Vegetarian,77
1013172A,Vegan,37
1013196C,Vegetarian,55
10131D,Vegetarian,74
1013205C,Omnivore,47
1013207A,Vegetarian,53
101320B,Vegan,44
1013231B,Vegan,55
1013234A,Omnivore,25
1013243D,Vegan,23
101327D,Omnivore,53
1013294C,Vegan,20
1013299E,Vegan,18
101329D,Vegan,71
1013316E,Omnivore,31
1013331B,Vegetarian,49
1013332D,Vegetarian,70
1013337B,Vegetarian,45
1013352A,Omnivore,30
1013355C,Vegetarian,33
101335E,Vegetarian,55
1013372C,Vegetarian,50
1013391E,Vegan,58
101339A,Vegetarian,19
1013419C,Vegan,63
1013435D,Vegetarian,18
101343E,Vegetarian,18
1013457C,Vegan,42
1013468E,Omnivore,78
101346D,Vegetarian,36
1013480C,Vegan,49
101348B,Vegetarian,55
1013491E,Omnivore,57
1013526E,Vegan,28
1013537C,Vegetarian,34
1013595A,Vegetarian,76
101362D,Vegetarian,46
1013650D,Omnivore,50
1013659C,Vegetarian,41
1013660A,Omnivore,40
1013675B,Vegetarian,44
1013682B,Vegetarian,19
1013691B,Vegan,66
1013692C,Vegetarian,28
1013705C,Vegetarian,58
1013749B,Omnivore,34
1013750B,Vegetarian,39
101376E,Vegetarian,76
1013778B,Vegan,26
101379B,Vegetarian,55
101380E,Vegetarian,25
101381D,Vegetarian,62
1013833A,Vegetarian,56
1013839B,Omnivore,73
1013852E,Vegetarian,74
1013896A,Vegan,22
101389D,Vegan,66
101390E,Omnivore,46
101391C,Vegan,41
1013929D,Omnivore,33
1013938E,Omnivore,42
1013940A,Vegetarian,58
1013964D,Vegetarian,72
1013971D,Omnivore,21
1013985C,Vegetarian,27
1014006D,Vegetarian,57
1014039E,Omnivore,63
1014043E,Omnivore,51
1014051E,Vegan,47
1014056D,Omnivore,68
1014085A,Vegetarian,40
1014092E,Omnivore,22
1014105A,Omnivore,63
101410C,Omnivore,67
1014124E,Vegan,66
1014174B,Omnivore,42
101418C,Omnivore,64
1014197E,Vegetarian,30
1014209D,Omnivore,50
1014229B,Vegetarian,32
1014231E,Vegetarian,46
1014244C,Omnivore,32
1014248A,Vegetarian,79
101424C,Omnivore,60
1014273E,Vegan,75
101428B,Omnivore,56
1014315A,Omnivore,44
101432E,Omnivore,56
1014334B,Vegetarian,73
1014335C,Vegetarian,52
1014353D,Vegetarian,60
